COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,SURVEY,PURPOSE_CODE,SEASON,YEAR,CRUISE6,STRATUM,TOW,STATION,SHG,TOGA,TOWDATE,DEPTH,BOT_TEMP,LATITUDE,LONGITUDE,CATCH_WT_CAL,CATCH_NO_CAL
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,001,0034,123,,18NOV1963:05:20:00,195,6.9,42.533333,-68.016667,14.345,37.25
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,002,0035,123,,18NOV1963:08:05:00,183,6.8,42.333333,-68.166667,119.894,68.54
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,003,0036,111,,18NOV1963:11:17:00,192,6.9,42.333333,-67.833333,147.225,80.46
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,004,0037,123,,18NOV1963:14:30:00,192,6.9,42.716667,-67.766667,67.195,70.03
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,005,0059,111,,21NOV1963:04:45:00,261,6.2,42.500000,-66.833333,30.804,122.18
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,006,0060,111,,21NOV1963:07:40:00,183,6.6,42.583333,-66.550000,91.808,411.24
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,007,0063,123,,21NOV1963:16:30:00,244,6.2,42.433333,-66.400000,48.018,64.07
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,008,0067,123,,22NOV1963:04:57:00,188,5.6,42.466667,-65.966667,8.154,52.15
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,009,0068,111,,22NOV1963:08:24:00,238,5.7,42.266667,-65.916667,17.818,13.41
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,010,0070,123,,22NOV1963:17:08:00,186,6,42.266667,-65.733333,36.24,68.54
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01160,001,0080,111,,23NOV1963:19:50:00,91,5.7,41.666667,-66.083333,20.536,505.11
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01160,002,0081,111,,23NOV1963:23:22:00,96,7.3,41.966667,-66.016667,94.526,457.43
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01160,003,0082,123,,24NOV1963:02:25:00,82,8.6,41.766667,-66.383333,15.1,135.59
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01160,004,0083,123,,24NOV1963:06:20:00,68,9.3,41.950000,-66.783333,99.358,439.55
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01210,001,0084,111,,24NOV1963:21:58:00,89,7.2,42.133333,-66.900000,128.048,1165.18
HADDOCK,164744,GBK,NONE,NMFS fall BTS,10,FALL,1963,196307,01200,002,0085,123,,25NOV1963:06:27:00,49,8.9,42.083333,-67.166667,41.827,187.74
