"ID","Stock_short","significant","AIC_diff","wing_spread_effect","1","2","3","4"
24,"Plaice","No",2.54481910232425,8600.85048101653,NA,NA,NA,"WingSpread"
24,"Plaice","Yes",4.34974966880691,6290.42546183588,NA,NA,"WingSpread",NA
24,"Plaice","Yes",9.90052300401294,14332.8183678302,NA,"WingSpread",NA,NA
24,"Plaice","Yes",13.2816257135237,9591.33521160611,"WingSpread",NA,NA,NA
25,"GBwinter","No",0.85029619577108,NA,NA,NA,"Standard",NA
25,"GBwinter","No",1.43216912624212,NA,NA,NA,NA,"Standard"
25,"GBwinter","No",1.87042119594571,NA,NA,"Standard",NA,NA
25,"GBwinter","No",1.960680792321,NA,"Standard",NA,NA,NA
26,"GOMwinter","No",0.910838115980368,NA,NA,NA,"Standard",NA
26,"GOMwinter","No",1.18764991027729,NA,NA,NA,NA,"Standard"
26,"GOMwinter","No",1.97668345745114,NA,"Standard",NA,NA,NA
26,"GOMwinter","No",1.99676124139933,NA,NA,"Standard",NA,NA
27,"SNEwinter","No",1.85654647724368,NA,NA,NA,"Standard",NA
27,"SNEwinter","No",1.93863137533845,NA,"Standard",NA,NA,NA
27,"SNEwinter","No",1.99296481894271,NA,NA,NA,NA,"Standard"
27,"SNEwinter","No",1.99987947691079,NA,NA,"Standard",NA,NA
28,"CCGOMYT","No",0.124257512709846,-26470.0105556744,NA,"WingSpread",NA,NA
28,"CCGOMYT","No",0.309793518519655,NA,"Standard",NA,NA,NA
28,"CCGOMYT","Yes",3.8729572267639,-29021.3418563159,NA,NA,"WingSpread",NA
28,"CCGOMYT","Yes",4.58561834308421,-42344.1215991424,NA,NA,NA,"WingSpread"
29,"SNEMAYT","No",0.480440056308908,NA,NA,NA,NA,"Standard"
29,"SNEMAYT","No",0.574386355084243,NA,NA,"Standard",NA,NA
29,"SNEMAYT","No",1.99506866588854,NA,NA,NA,"Standard",NA
29,"SNEMAYT","No",1.996160606177,NA,"Standard",NA,NA,NA
30,"Littleskate","No",0.317449853289872,NA,NA,"Standard",NA,NA
30,"Littleskate","No",0.366852570026822,12301.4983090979,NA,NA,"WingSpread",NA
30,"Littleskate","No",0.51966174608242,23698.9106586126,NA,NA,NA,"WingSpread"
30,"Littleskate","No",0.576149162719958,NA,"Standard",NA,NA,NA
31,"Barndoor","No",1.63953324027898,NA,NA,NA,"Standard",NA
31,"Barndoor","No",1.81577343014214,NA,"Standard",NA,NA,NA
31,"Barndoor","No",1.99641507755041,NA,NA,NA,NA,"Standard"
31,"Barndoor","No",1.99878866700783,NA,NA,"Standard",NA,NA
32,"Winterskate","No",1.80799779310109,NA,NA,"Standard",NA,NA
32,"Winterskate","No",1.89529636732914,NA,NA,NA,"Standard",NA
32,"Winterskate","No",1.96995969960881,NA,NA,NA,NA,"Standard"
32,"Winterskate","No",1.98744543821522,NA,"Standard",NA,NA,NA
33,"Fspiny","No",0.991575966123492,NA,"Standard",NA,NA,NA
33,"Fspiny","No",1.29062998580048,NA,NA,NA,"Standard",NA
33,"Fspiny","No",1.50507882705642,NA,NA,"Standard",NA,NA
33,"Fspiny","No",1.86556345945064,NA,NA,NA,NA,"Standard"
34,"Mspiny","No",1.82314449676778,NA,NA,"Standard",NA,NA
34,"Mspiny","No",1.88090189794821,NA,NA,NA,NA,"Standard"
34,"Mspiny","No",1.98275966768415,NA,"Standard",NA,NA,NA
34,"Mspiny","No",1.99062739700457,NA,NA,NA,"Standard",NA
35,"Smoothskate","No",0.396884461784794,NA,"Standard",NA,NA,NA
35,"Smoothskate","No",0.627191041828155,2045.95162942125,NA,"WingSpread",NA,NA
35,"Smoothskate","No",0.858310565996362,NA,NA,NA,"Standard",NA
35,"Smoothskate","No",0.923086347484968,2321.83686243673,NA,NA,NA,"WingSpread"
